,Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
48,Costa Rica,CRI,1.8792765563641,5.44239137528257,6.89892344200919,3.65904831413995,8.1905275942481,6.96931903096751,5.65012592038399,8.47330434699469,5.4917999425584,7.5031343433506,6.77850542642196,8.17804513351513,7.70891581191245,5.54489999097116,2.10007104948495,5.51756440295593,8.90447443155162,6.26768682442558,4.93912395498315,0.751895403326387,-2.26165550729671,-7.28556884666179,2.86299270239465,8.02410790730326,0.72160172926823,5.53625084315684,4.76453327969504,3.43214737968852,5.66597554871322,3.55306336572279,2.26565496296189,9.20110358278828,7.09719089594824,4.51902842051615,4.15395329584814,1.35045951266757,5.47616597492105,7.08853729218445,4.147800457203,3.80207210664838,3.49117013515725,3.41687615891895,4.31718000096654,4.42459978667458,3.97666631433462,7.3266951372695,8.21513209207497,4.73817511214847,-0.87345608994562,5.36034347722267,4.40315921836142,4.88259252932575,2.49476596233289,3.54210997703849,3.65208093006359,4.20432320775184,4.15769914676933,2.85285959760458,2.70813912948329,-4.14159340574358,8.21817953969082,5.46119455235068,4.79187732359398,4.08292444182048,4.56033547844829
50,Cuba,CUB,4.89227701008051,5.41188961342047,4.71029133985073,5.8000000040378,4.93054100754495,5.374419926244045,4.13486416579858,5.21514161490035,4.73690901583991,4.94188689356858,8.58385901163629,4.82668584313927,3.43448853582437,0.984491815760862,9.47642606915934,5.4279604586732,8.7095028615293,6.59599856337493,1.08818330173155,-4.84944295088555,19.6883343337449,8.91823496493072,5.4114707238347,7.92971651513383,1.59667459807866,0.0953033856467584,-2.40217253779804,3.70553990905537,0.680083233154079,-2.94856494503389,-10.6926971084884,-11.5806030812698,-14.8781806947595,0.716930310416799,2.45720117243687,7.83874965899149,2.78342504174314,0.159146052326719,6.18875530352257,5.9147601740486,3.18502990449461,1.42482126141282,3.79274022304334,5.77053807021559,11.2016564219094,12.0658631129953,7.26213696647943,4.11682804164681,1.4513054307407,2.39035229650723,2.80230083647626,3.01490028898772,2.74760256257211,1.04757663187654,4.4383335888395,0.512843095700745,1.80979178380274,2.24794852913217,-0.163087223606624,-10.9494359030206,1.25448735650322,1.77465227724316,-1.92937123169681,-1.06173273220524,2.724158767638825
57,Dominica,DMA,4.89227701008051,5.41188961342047,4.71029133985073,5.8000000040378,4.93054100754495,5.374419926244045,4.13486416579858,5.21514161490035,4.73690901583991,4.94188689356858,4.3046924914760805,5.13657134176563,5.504994988357835,5.43490275126951,2.561627639769175,5.298744202312005,5.626283731931795,10.5357457303524,-18.3592854062593,13.3831821469051,10.829331110484,4.12768352803022,2.55631790150646,4.19664686909995,1.42093316227962,7.07335660054757,6.30756102261223,7.81662301716332,-0.191136403056177,5.41798351146888,1.3477691598669,2.02941338180298,2.16142138921818,0.034477526872962,3.0308658627128,3.10419572470771,2.18562742404438,3.77423043853915,0.354077659205259,2.3402193777688,-0.0638434428881567,-3.08742052359268,5.80495468629533,4.09783662273917,0.915286472779144,4.40077479812059,5.3579375575878,7.12131217762231,-1.13575145648322,-0.105610857694984,0.0427388878891435,-0.15739179314221,0.0045039972976042,2.33521742067693,-3.37338262476895,1.44724556489263,-7.5443637547282,2.964010610466,3.94809757938053,-15.7064024545862,5.37983838954712,10.3968076616121,3.65221012208734,2.052738472526,3.05243763087539
59,República Dominicana,DOM,-2.31324874995215,17.0472409332998,6.5029026339739,6.76486511640719,-12.4818339161578,13.4633448325871,3.32754228723313,0.238860484696033,10.8914458307792,18.2266828796502,10.8714660681825,10.3941640767605,12.8957637251018,6.00190290333001,5.19325335716054,6.72812264197154,4.98178395087527,2.14068467652768,4.53139921679188,7.96873850744203,4.27986747952673,1.69870863097844,4.62794634845423,1.25289597452468,-2.12253497623708,3.52199319901496,10.1173673617477,2.15596333107848,4.40053881491089,-5.45431239511254,0.944138889056532,11.2374641300752,7.36669526975602,2.59378305986246,5.69998859173715,5.96119319380874,8.89955230035797,6.70585570778992,5.95651024999543,4.65172550299128,2.46937023763239,4.48650367045651,-1.34935744782766,2.58556667449577,9.43178931977285,9.17120650955299,7.41840577774235,3.26808671288212,1.00345293018719,8.40114541209596,3.19196227475523,2.77567100848816,4.93473300709881,7.11122629673892,6.98771131236387,6.71974078681295,3.93386176401576,7.09751640210159,4.8940301149584,-7.92905234231061,14.0124289062207,5.23795652902595,2.19229848237939,4.95352204492849,2.11739113534632
66,Ecuador,ECU,5.12441487887448,4.91914694399127,2.10636824719379,7.40724535940373,3.27508248987445,-0.33952563927852,4.62107394346161,1.90943839737609,4.66923798208919,6.87192932488124,6.29260619739669,5.01764070581541,13.9506821300277,11.208509630308,10.9721540022298,7.39718761871015,1.6048421092884,5.70682494541619,3.73404840305636,3.70868296743329,5.61286412023385,0.614845351988635,-0.336868770002951,2.62527326806389,3.93500141252335,3.46478251574867,-0.259098708877119,5.89046729088525,1.00577794490313,3.67991405308877,4.29134246404705,2.11431064978969,1.97321813678619,4.25825042741626,2.25254865225104,1.73174762607862,4.32786475767577,3.26652934570988,-4.73938585363382,1.09180164720277,4.20627185748789,4.92809549611376,2.88450036512064,6.83239736646514,5.39862243994342,4.34113198577639,1.90242859700484,6.56492068224719,1.0910129698311,4.02913787986621,8.48147656332823,5.783212336172,7.21123653679159,4.22606520388456,0.119692109287612,-0.687954245877947,5.97039880954841,1.04429460679607,0.1654044646003,-9.24509619165865,9.42189269033631,5.86842354862311,1.8328406107788,-1.94409022506859,3.72594857272087
89,Granada,GRD,4.89227701008051,5.41188961342047,4.71029133985073,5.8000000040378,4.93054100754495,5.374419926244045,4.13486416579858,5.21514161490035,4.73690901583991,4.94188689356858,4.3046924914760805,5.13657134176563,5.504994988357835,5.43490275126951,2.561627639769175,5.298744202312005,5.626283731931795,5.34140218518347,5.60208348590967,-0.534783988422475,1.53418747275683,4.12426157156393,3.63257489695788,3.56846533761095,5.97970814111039,7.19427376957988,9.09742510698013,2.96679168426633,3.76773076437745,4.01261191599704,1.38554578702994,-0.851148756391396,-1.95881558143746,1.69355604419043,2.12947514959858,4.43823471603358,5.01549460936745,11.7535029919192,6.89836243368677,4.88795213650562,-2.02390004072058,3.43732352954147,9.46397343076491,-0.647450316084857,13.2761883306272,-3.99532824427482,6.12345094741467,0.947542624907697,-6.61328134799545,-0.511146187173722,0.764773550338731,-1.15483816409801,2.35109801677905,7.34212396037948,6.44522314693144,3.7396039558691,4.43867566948151,4.36144039364797,0.676511738873756,-13.7566222572107,4.6977240232674,7.31023806981959,4.52657497450693,2.3996478454327,4.41201
91,Guatemala,GTM,4.29851834874688,3.53650126284866,9.54104393054875,4.63299243190491,4.36176931452728,5.51210399019357,4.11217561696343,8.76603505425516,4.73690901583991,5.70788359811974,5.58375454736793,7.33305162061406,6.78283433749129,6.37502990286956,1.94999082158344,7.38726562476302,7.80922068405067,4.99668981954586,4.71345609171885,3.75997816033124,0.646858610432233,-3.53008900954855,-2.57209144433914,0.496697752643456,-0.609338955584263,0.143049595525113,3.54398330651921,3.89238706354786,3.94258951982349,3.10256317557587,3.65824875006811,4.83833884688683,3.92713194504024,4.03374149641458,4.94854750210382,2.95777988740716,4.36408994678341,4.99352780305848,3.8470621889051,3.6088687174876,2.33257486608854,3.83928708556792,2.56037766801896,3.13791683609193,3.27602692588886,5.35139778711536,6.33771869016203,3.29352400028485,0.476898106596394,2.88417542800377,4.16390688293349,2.97470856847661,3.69476814623695,4.44397825774911,4.09217170075418,2.6778031930216,3.0798512212244,3.40687328176345,4.01789830861587,-1.78555117570465,8.04170398855833,4.15492196609047,3.52430434049013,3.71558453779777,4.28003207921405
93,Guyana,GUY,4.68952431164918,1.10492580955443,-12.2786572607531,11.3602823799386,10.5410187618772,5.23327389402719,4.31362182924127,1.02482755310702,6.99438665753721,4.25545689303152,3.11285084398625,-3.3176709348416,1.24471935231686,7.70283994935743,8.48302151373474,1.53691327860348,-2.63867966107593,-1.80618877216861,-1.83569626054445,1.73388972721931,1.49616592020392,-13.1901344884724,-6.792386689346,-5.02873786366854,2.39966745807851,-0.900602237275649,0.899396594038478,-3.69353310075873,-4.91666666511816,-3.06748466406728,6.05786618530573,7.75788577607526,8.17510549304023,8.53242316667276,5.03144655812085,7.95551754125103,6.18066561019938,-1.67910449189729,2.96015180311224,-1.36380390261873,2.2795216592191,1.13262696199476,-0.632225388266377,1.56335211034042,-1.95095759501714,5.12960934773,7.19123624057457,1.75522349592019,3.61150847218585,4.13844160137342,5.19625156051602,5.27633062046809,3.65338433338232,1.68649445019584,0.687404590619494,3.80745626378814,3.73449154571284,4.44091288475967,5.35284003535665,43.479651716849,20.0599975568418,63.3346343654855,33.795011115873,43.8192726391966,19.3360097091818
96,Honduras,HND,1.66356461642803,2.18523652981222,1.26827909278258,1.54715605635589,2.58333582121715,-1.11932816500057,3.76437003674084,-1.17815493672721,0.881367760385189,4.94188689356858,4.65493718159253,3.90537684149935,4.44128830650889,9.41117622705514,5.3200213329476,16.1000612479848,8.67824908440281,12.9383124816161,11.5302614235207,13.0461742022835,7.25433073403863,4.3913059235414,6.99586711936102,2.35846275081614,4.66822602953714,5.53564279745997,1.74009422609132,7.57442109483326,7.12826947076638,21.1713674322465,26.0469005554795,9.03523510162955,13.6371743358989,29.0190203167888,24.6744628782887,22.957391093437,22.4277452884418,11.5761659693973,11.5758601448677,9.61221879337278,2.72319327321379,3.75433786119939,4.54703805165397,6.23230296069102,6.05059922215973,6.56724355177587,6.18832716678008,4.23160011009342,-2.43162787988011,3.73114034433009,3.83569066207505,4.12868774866939,2.79155975746801,3.0580805621437,3.84007997093951,3.89297219726413,4.84291391050387,3.84499476966735,2.55963434592314,-8.96508223267296,12.5652843771279,4.14356194013767,3.57584760454412,3.63240745450875,3.75143102801252
99,Haití,HTI,-2.93198029126782,7.88757589385567,-1.89279255057041,-1.64735736887533,2.16179786144892,-0.575786801046178,-2.11768620106355,3.18161732148926,3.81194328486592,0.651153708034172,6.48038050132288,0.977107758966667,4.75532209168918,5.77988915170621,1.12275449104284,8.43883542963357,3.7081464367304,6.20886353648547,7.5604214016743,7.37468791939079,-2.85270971115165,-3.56374522434297,0.908181461269791,0.300917036236442,0.603631294369663,-0.497504788372368,-0.793648700197082,0.200426837325949,-2.91342439807192,1.03812280198248,1.88054472396281,-5.30993292251178,-5.42629599215383,-11.9506292939561,9.89770748815705,4.14077332856783,2.70471393077787,2.18184032957123,2.71024801048499,0.870059259424892,-0.342747883252144,1.05182013450109,3.48077973188326,-1.3178567596495,3.07217337664731,1.76875060288195,4.70652994008303,2.6580323082747,5.89037894844316,-5.65151153448299,5.09821354410036,0.502424403581585,4.32478411472874,2.88877250863379,1.40000000859727,1.81246807847532,2.51027134544685,1.66781095484656,-1.72309699839232,-3.30550546965893,-1.79823988931486,-1.68198396897978,-1.86388420254838,-4.18495104762965,-2.71291075761471
